"healthy_66"	"healthy_67"	"healthy_68"	"healthy_69"	"healthy_70"	"diseased_71"	"diseased_72"	"diseased_73"	"diseased_74"	"diseased_75"
"LOC124905241"	0	0	0	0	1	0	2	3	2	0
"MIR4767"	0	0	0	0	0	0	0	0	0	0
"STS"	1002	783	1073	767	685	1603	1341	1251	1473	1559
"LOC107987331"	0	0	0	0	0	0	0	0	0	0
"RPS27AP17"	0	0	0	0	0	0	0	0	0	0
"PUDP"	531	518	634	485	457	1112	992	917	1141	1224
"LOC124905240"	4	4	2	1	1	3	6	6	1	7
"VCX3A"	0	0	0	0	0	0	0	0	0	0
"RPS5P8"	1	1	3	0	1	3	1	0	1	1
"MIR4770"	0	0	0	0	0	0	0	0	0	0
"LOC105373156"	32	31	27	44	40	89	158	149	197	156
"NLGN4X"	1979	2094	1896	2247	1608	4814	5844	5041	6885	6467
"LOC101928228"	2	3	1	0	1	5	12	16	8	19
"LOC124900497"	0	0	0	0	0	0	0	0	0	0
"HADHBP1"	1	0	1	1	0	0	2	1	1	1
"LOC347381"	0	0	0	0	0	0	0	0	0	0
"MTCYBP12"	0	0	0	0	0	0	0	0	0	0
"MTND6P12"	0	0	0	0	0	0	0	0	0	0
"LOC101928201"	1	0	0	0	0	0	0	0	1	0
"RPL24P9"	0	0	0	0	0	0	0	0	0	0
"FAM239C"	0	0	0	0	0	0	1	1	0	0
"TRI.GAT1.3"	0	0	0	0	0	0	0	0	0	0
"FAM239B"	0	0	0	0	0	0	0	1	1	0
"TRI.GAT1.2"	0	0	0	0	0	0	0	0	0	0
"FAM239A"	0	0	0	0	0	105	83	99	136	138
"TRI.GAT1.1"	0	0	0	0	0	0	0	0	0	0
"LOC124900487"	83	87	61	58	58	152	203	185	217	244
"LOC389906"	165	136	120	162	124	323	388	387	485	420
"RPS27AP20"	0	1	1	1	0	0	1	2	5	2
"PRKX.AS1"	0	0	0	0	0	0	0	0	0	0
"RNU6.146P"	0	0	0	0	0	0	0	0	0	0
"PRKX"	1077	890	1060	810	818	1467	1515	1506	1841	1867
"RNU6.114P"	0	0	0	0	0	0	0	0	0	0
"SNORA48B"	0	0	0	0	0	0	0	0	0	0
"ASS1P4"	0	0	0	0	0	0	0	0	0	0
"MXRA5"	2517	3102	2584	3007	2323	984	834	464	792	779
"LINC01546"	3	3	2	1	1	5	4	1	0	1
"RPS24P21"	0	0	0	0	0	0	0	0	0	0
"RN7SL578P"	0	0	0	0	0	0	0	0	0	0
"ARSF"	0	1	0	5	4	0	1	0	0	2
"ARSH"	0	2	3	2	1	2	2	0	1	3
"ARSL"	103	116	113	126	78	111	83	48	67	94
"ARSD.AS1"	1	3	1	0	1	1	0	1	0	1
"ARSD"	1033	933	991	1015	744	1035	687	705	747	956
"GYG2"	1308	953	1652	882	981	2023	1120	1126	1095	1654
"XG"	2	1	0	3	2	2	3	4	3	2
"LOC124900597"	0	0	0	0	0	0	0	0	0	0
"LOC124905332"	0	0	0	0	0	1	0	0	0	0
"LOC124900510"	0	0	0	0	0	0	0	0	0	0
"LOC124905331"	0	0	0	0	0	0	0	0	0	0
"RNA18SP4"	0	0	0	0	0	0	0	0	0	0
"LOC102724621"	0	0	2	0	0	0	0	3	1	0
"LOC107987393"	1	0	0	1	0	0	0	0	0	0
"LOC105379549"	8	4	7	5	8	4	1	3	5	5
"RNA28SN4"	0	0	0	0	0	0	0	0	0	0
"RNA5.8SN4"	0	0	0	0	0	0	0	0	0	0
"RNA18SN4"	0	0	0	0	0	0	0	0	0	0
"RNA45SN4"	1	1	0	0	0	1	2	1	0	1
"LOC107987392"	4	5	2	3	2	3	2	4	2	3
"LOC107987391"	42	59	39	58	42	46	53	35	37	53
"LOC102724526"	0	0	0	0	0	0	0	0	0	0
"LOC107987389"	0	0	0	0	0	0	0	0	0	0
"LOC105379548"	0	0	0	1	0	0	0	1	0	0
"LOC102724197"	0	0	0	0	0	0	1	0	0	0
"LOC102724563"	0	0	0	0	0	0	0	0	0	0
"LOC102724151"	0	0	0	0	0	0	0	0	0	0
"LOC124905330"	0	0	0	0	0	0	0	0	0	0
"LOC102724751"	12	6	7	10	5	17	16	4	9	14
"RABL2B"	1265	1014	1124	993	864	1012	1063	1078	1187	1277
"RPL23AP82"	311	287	346	252	229	299	266	243	280	321
"LOC124905149"	4	6	3	8	3	11	14	9	18	11
"ARSA"	1256	1082	1147	1096	757	675	584	535	583	755
"MAPK8IP2"	1412	1453	1072	1527	958	1496	2123	2171	2486	2507
"CHKB.DT"	83	96	55	79	65	65	120	93	97	99
"CHKB"	8	16	9	11	13	4	10	10	9	7
"CPT1B"	25	28	21	19	16	15	20	15	12	19
"CHKB.CPT1B"	11	16	15	5	4	10	13	7	13	15
"LOC107985568"	3	2	1	2	1	1	1	2	2	2
"SYCE3"	4	6	3	6	5	1	3	3	5	8
"KLHDC7B"	43	6	31	10	14	9	7	3	7	9
"KLHDC7B.DT"	0	0	0	0	0	0	0	0	0	1
"LOC102724608"	0	2	0	2	1	1	2	1	3	2
"ODF3B"	99	68	75	68	49	20	14	16	14	24
"TYMP"	43	48	40	44	28	10	1	8	6	12
"SCO2"	111	92	146	106	60	65	80	85	87	96
"NCAPH2"	1213	1094	1019	1222	748	964	1202	1227	1365	1523
"LMF2"	1910	1575	1702	1712	920	886	784	727	801	935
"MIOX"	20	18	14	22	11	5	3	1	3	3
"ADM2"	625	384	607	490	412	211	109	100	119	145
"SBF1"	4949	4146	4286	4414	2688	3643	4398	4108	4633	5305
"MIR12114"	4	2	2	0	0	2	2	1	0	1
"RN7SL500P"	0	0	1	0	0	0	1	0	0	0
"PPP6R2"	2298	1987	1968	2044	1425	1457	1485	1434	1524	1802
"LOC105373096"	2	0	0	1	1	1	0	1	0	0
"DENND6B"	1149	1066	882	1082	717	1005	1284	1237	1293	1505
"PLXNB2"	11519	7618	11271	7594	6145	6690	5205	4867	4828	7020
"MAPK11"	857	781	605	853	485	672	917	832	1025	1047
"MAPK12"	230	184	157	217	133	154	184	160	215	227
"HDAC10"	423	406	281	418	251	245	299	291	302	332
"TUBGCP6"	2110	1831	1544	1901	1181	1402	1667	1615	1792	1866
"SELENOO.AS1"	54	62	34	59	28	39	51	47	37	68
"SELENOO"	378	378	336	349	204	236	285	236	238	322
"LOC124905148"	83	71	69	93	55	49	52	42	60	54
"TRABD"	483	482	423	455	248	242	228	226	261	306
"PANX2"	193	367	127	379	152	99	133	115	141	142
"MOV10L1"	234	410	248	380	275	54	22	23	17	29
"MLC1"	621	599	690	743	452	1826	1822	1330	1610	2068
"TTLL8"	1	1	0	1	0	0	0	0	0	0
"IL17REL"	1	10	1	10	0	0	0	1	1	0
"MIR6821"	0	0	0	0	0	0	0	0	0	0
"PIM3"	485	451	424	576	269	263	277	256	290	287
"CRELD2"	962	1117	810	1360	716	504	486	427	502	689
"ALG12"	716	641	671	676	417	395	334	363	344	494
"LOC124905147"	6	4	0	4	1	4	5	2	4	0
"ZBED4"	1449	1293	1362	1367	1037	1199	1463	1287	1475	1580
"LOC105373091"	0	0	0	0	0	0	0	0	0	0
"LOC124905156"	1	2	1	6	6	3	2	3	3	4
"LOC105377205"	2	4	1	4	3	1	0	1	1	1
"LOC100420885"	0	0	0	0	0	0	0	0	0	0
"BRD1"	1736	1596	1568	1701	1205	1344	1769	1709	1973	2005
"RPL5P35"	0	0	0	0	1	0	0	0	1	0
"RN7SKP252"	0	0	0	0	0	0	0	0	0	0
"LOC124905146"	0	1	0	1	0	1	0	0	0	0
"LOC124905145"	1	2	0	1	2	0	1	1	0	4
"LOC124905144"	0	2	1	0	0	1	0	1	0	0
"MIR3667"	0	0	0	0	0	0	0	0	0	0
"MIR3667HG"	0	1	0	0	1	0	0	0	0	1
"LOC124905143"	0	0	1	0	1	1	0	2	0	0
"RPL35P8"	0	0	0	0	0	0	0	0	0	0
"LOC105373086"	0	0	0	0	0	0	0	0	0	0
"NHIP"	0	0	0	0	0	0	0	0	0	0
"LINC01310"	16	5	11	13	7	9	16	16	15	21
"MIR4535"	0	0	0	0	0	0	0	0	0	0
"LOC124900480"	66	50	51	58	39	25	37	46	64	56
"LOC284933"	0	0	0	0	0	0	0	0	0	0
"TAFA5"	1048	740	1132	780	674	791	871	757	904	917
"LOC124905142"	1	2	1	2	2	0	2	0	2	0
"LOC105373081"	0	0	0	2	0	0	0	0	0	0
"LOC105373080"	0	0	0	0	0	0	0	0	0	0
"MIR3201"	0	0	0	0	0	0	0	0	0	0
"LOC107985581"	0	0	0	0	0	0	0	0	0	0
"LOC107985536"	0	0	0	0	0	0	0	0	0	0
"LOC124905150"	0	0	0	0	0	0	0	0	0	0
"EPIC1"	0	0	0	0	0	0	0	0	0	0
"LINC00898"	0	0	0	0	0	0	0	0	0	0
"LINC01644"	0	0	0	0	0	0	0	0	0	0
"LOC339685"	0	1	1	0	0	0	1	0	0	0
"LOC124905140"	0	0	0	0	0	1	0	0	0	0
"LOC124905139"	0	0	0	0	0	0	0	0	0	0
"LOC124905141"	0	0	0	1	0	0	0	0	1	1
"LOC105369161"	7	4	7	5	1	10	13	13	11	14
"TBC1D22A.AS1"	0	0	0	0	0	0	0	0	0	0
"TBC1D22A"	495	358	520	398	352	298	271	303	341	400
"LOC105373077"	26	19	20	8	11	17	8	14	20	16
"CERK"	3150	2637	3231	2608	2285	2828	2869	2969	3673	3743
"GRAMD4"	1233	966	1036	976	658	824	876	803	909	1097
"LOC105373075"	0	0	0	0	1	0	0	0	0	0
"FAM136EP"	0	0	0	0	0	0	0	0	0	0
"CELSR1"	3172	1637	3427	1647	1637	3106	1767	1675	1461	2750
"TRMU"	623	557	507	532	455	428	517	457	564	562
"GTSE1"	481	456	389	389	288	515	254	270	224	420
"GTSE1.DT"	8	12	12	14	7	10	13	18	18	19
"TTC38"	520	450	516	487	349	361	243	247	228	334
"PKDREJ"	2	3	1	2	3	1	1	1	4	2
"CDPF1"	243	200	230	224	169	162	170	166	159	189
"LOC105373074"	0	0	0	0	0	0	0	0	0	0
"PPARA"	990	890	1234	796	710	555	389	381	342	489
"LOC124905138"	5	8	1	7	7	2	2	0	2	2
"LOC124905137"	0	0	0	1	0	0	0	0	0	0
"MIRLET7B"	0	0	0	0	0	0	0	0	0	0
"MIR4763"	0	0	0	0	0	0	0	0	0	0
"MIRLET7A3"	0	0	0	0	0	0	0	0	0	0
"MIR3619"	0	0	0	0	0	0	0	0	0	0
"LOC112268288"	0	0	1	1	0	0	1	0	1	1
"MIRLET7BHG"	0	0	0	0	0	0	0	0	0	0
"LINC02939"	7	15	11	13	8	6	2	3	4	12
"PRR34.AS1"	0	6	5	6	4	1	0	4	5	4
"PRR34"	0	1	0	3	4	0	0	1	0	0
"LOC124905135"	9	3	3	7	2	1	2	0	2	3
"LINC00899"	18	22	4	13	12	1	0	0	1	0
"LOC124905136"	17	12	6	16	14	12	12	12	15	13
"LOC124905134"	1	1	3	2	2	2	3	1	1	2
"LOC730668"	4	2	2	1	0	3	4	2	3	7
"WNT7B"	332	395	243	500	339	314	637	715	804	765
"LOC107985535"	1	0	2	1	0	2	2	5	0	2
"LOC105373071"	111	97	50	73	75	74	91	90	112	113
"LOC100113375"	0	0	0	0	0	0	0	0	0	0
"MIR4762"	0	0	0	0	0	0	1	1	1	0
"ATXN10"	6181	5966	6237	6229	5007	6879	6951	6792	8119	8057
"LOC105373068"	0	0	0	0	0	0	0	0	0	0
"LOC105373067"	0	0	0	0	0	0	0	0	0	0
"LOC105373069"	0	1	0	3	0	0	0	1	0	1
"RNU6.1161P"	0	0	0	0	0	0	0	0	0	0
"LINC01589"	0	0	0	0	0	1	0	0	1	0
"FBLN1"	12210	15004	10950	16486	8706	1770	1198	931	1044	1457
"LOC105373066"	2	2	0	0	0	0	0	0	0	0
"LOC107985537"	0	1	0	0	0	0	0	0	0	0
"RIBC2"	71	42	53	38	48	62	25	48	34	45
"SMC1B"	1	2	0	0	3	2	1	1	2	1
"FAM118A"	1099	1160	903	1161	940	764	598	612	587	743
"UPK3A"	1	1	0	1	1	1	1	0	0	1
"RPS10P31"	0	0	0	0	0	0	0	0	0	0
"MIR1249"	4	5	4	6	5	5	6	7	8	4
"KIAA0930"	2745	2706	2674	2707	2151	2313	3067	2671	3225	3473
"LOC105373064"	27	32	23	30	21	28	65	38	51	57
"NUP50"	2745	2780	2684	2696	2008	2591	2412	2293	2848	3028
"NUP50.DT"	149	174	165	175	151	198	258	203	260	245
"LOC101927551"	0	2	2	3	2	2	2	4	3	4
"RPL6P28"	0	0	0	0	0	1	0	2	0	1
"PHF21B"	844	816	606	840	697	699	961	961	1106	1166
"LOC124905133"	6	4	5	8	5	6	5	6	4	5
"LOC105373062"	1	2	3	4	1	2	3	5	1	2
"ARHGAP8"	0	0	0	0	0	0	0	0	1	0
"PRR5.ARHGAP8"	0	0	0	0	0	0	0	0	0	0
"PRR5"	151	138	135	164	84	144	149	137	171	216
"LOC124905132"	38	31	18	20	20	21	17	20	17	18
"ANP32BP2"	0	0	0	0	0	0	0	0	0	0
"LOC105373060"	0	0	0	0	0	0	0	0	0	0
"LINC00229"	1	0	1	2	2	0	0	0	1	1
"LINC00207"	0	0	0	0	0	0	1	0	0	0
"KRT18P23"	0	0	1	0	0	0	0	0	0	0
"LOC105373059"	0	0	0	0	0	0	0	0	0	0
"RTL6"	3742	3285	3603	3505	2547	3442	3657	3414	4122	4382
"MRPS18CP6"	0	0	0	0	0	0	0	0	0	0
"LINC01656"	0	0	0	0	0	0	0	0	0	0
"LOC101927499"	0	0	0	0	0	0	0	0	0	0
"SHISAL1"	2014	1922	1752	2148	1584	1882	2087	2205	2495	2712
"PARVG"	2	0	3	3	0	2	0	1	1	2
"TRU.TCA2.1"	0	0	0	0	0	0	0	0	0	0
"LOC124905131"	1	1	0	1	1	1	0	0	0	0
"PARVB"	98	167	112	146	109	48	59	43	61	66
"RPL35AP36"	2	0	1	2	1	1	1	1	1	0
"SAMM50"	1455	1263	1367	1369	1090	1257	1118	1115	1246	1290
"PNPLA3"	185	183	182	157	137	260	294	221	234	294
"PNPLA5"	0	1	0	0	0	0	0	0	0	0
"SULT4A1"	600	596	371	712	465	595	920	792	1079	972
"LOC105373058"	17	31	19	33	17	31	33	30	40	51
"HMGN2P9"	0	0	0	0	0	0	0	0	0	0
"LOC100419506"	0	0	1	1	0	0	0	0	0	1
"LOC124905130"	0	0	0	0	0	0	0	0	0	0
"YWHAQP2"	41	35	45	30	48	84	51	45	77	59
"LOC101927474"	0	0	0	0	0	0	0	0	0	0
"EFCAB6"	227	157	241	159	181	183	149	143	140	144
"EFCAB6.AS1"	0	0	0	0	0	0	0	0	0	0
"MPPED1"	28	37	26	35	25	39	29	19	42	28
"LINC01639"	0	0	0	0	0	0	0	0	0	0
"LOC105373053"	0	0	0	0	0	1	0	0	0	0
"SCUBE1.AS1"	0	0	0	0	0	0	0	0	0	0
"LOC124905129"	0	0	0	0	2	0	1	0	0	0
"SCUBE1.AS2"	0	0	0	0	1	1	0	0	0	0
"SCUBE1"	755	1182	430	1234	586	1113	2279	1897	2462	2442
"TTLL12"	923	807	861	896	598	658	818	643	922	948
"TSPO"	281	224	298	186	114	88	83	28	37	59
"MCAT"	328	275	317	323	238	286	303	280	334	320
"BIK"	4	1	2	2	1	4	5	3	10	8
"RPS25P10"	0	0	0	0	0	0	0	0	0	0
"TTLL1"	775	729	802	729	622	696	757	690	830	828
"TTLL1.AS1"	0	0	0	0	0	0	0	0	0	0
"LOC124905128"	0	0	0	0	0	1	1	0	0	0
"LOC101927393"	4	6	5	12	5	5	13	6	4	8
"PACSIN2"	2039	1724	1863	1725	1386	1633	1490	1787	1997	2047
"LOC692246"	0	1	0	0	0	0	0	0	0	0
"ARFGAP3"	2300	2091	2435	2196	1918	1852	1672	1579	1897	1969
"LOC100422416"	0	2	0	0	0	0	0	0	0	0
"DNM1P18"	2	0	0	0	0	0	1	1	1	0
"GOLGA2P4"	0	0	0	0	0	0	0	0	0	0
"RPL5P34"	68	51	91	62	111	74	37	47	61	36
"A4GALT"	37	16	68	12	13	5	5	2	6	7
"ATP5MGL"	2	1	1	0	0	2	0	1	0	3
"CYB5R3"	3847	2871	4131	2894	2428	2642	2143	2007	2094	2643
"RNU12"	0	0	1	0	0	0	3	0	0	1
"LOC124905127"	7	4	7	4	4	9	10	6	4	5
"POLDIP3"	3725	3213	3622	3434	2721	3338	3530	3377	3812	4005
"RRP7BP"	242	193	176	199	170	167	187	164	217	207
"RNU6.513P"	3	2	3	4	4	6	4	2	5	8
"RN7SKP80"	4	3	1	5	5	1	5	2	1	5
"SERHL2"	12	15	25	10	13	19	12	8	11	15
"LOC124900479"	0	1	0	0	0	0	0	0	0	0
"RRP7A"	1562	1351	1436	1528	956	1101	1224	1321	1413	1718
"LOC101927372"	49	33	26	35	38	18	28	27	46	27
"SERHL"	3	0	1	2	0	0	0	0	1	0
"LOC101927344"	3	0	2	0	1	3	4	0	2	0
"NFAM1"	8	9	12	7	8	11	9	9	9	16
"LOC124905126"	0	0	0	0	0	0	0	0	2	0
"LINC01315"	52	55	45	51	35	64	78	75	92	82
"OGFRP1"	3	0	1	0	2	0	0	0	1	0
"SNORD13P1"	0	0	0	0	0	0	0	0	0	0
"LOC107985551"	6	5	3	3	4	3	3	8	2	7
"NAGA"	1288	874	1234	1015	729	833	595	614	600	813
"SLC25A5P1"	0	0	0	0	3	2	1	1	1	3
"WBP2NL"	0	0	0	0	0	0	0	0	0	0
"SEPTIN3"	10355	10567	8180	11795	9177	14179	21213	19969	25461	23012
"SMIM45"	31	27	25	44	21	46	47	70	73	71
"CENPM"	129	107	111	97	62	127	83	84	78	128
"MIR378I"	0	0	0	0	0	0	0	0	0	0
"TNFRSF13C"	69	65	44	65	54	24	23	28	29	29
"LOC124905125"	3	2	2	3	3	1	2	1	3	2
"SHISA8"	10	4	7	7	8	2	7	11	14	6
"MIR33A"	0	0	0	0	0	0	0	0	0	0
"SREBF2"	8627	8753	7242	9593	5833	8905	10498	9619	11541	12423
"SREBF2.AS1"	36	49	27	38	34	42	52	48	49	65
"CCDC134"	580	602	500	611	436	469	535	480	565	507
"RNU6ATAC22P"	0	0	0	0	0	0	0	0	0	0
"HMGN2P10"	0	0	1	0	1	0	0	0	0	0
"MEI1"	2	4	1	5	4	3	2	1	4	5
"C22orf46"	846	786	639	820	771	673	934	755	876	938
"RNU6.476P"	0	0	0	0	0	0	0	0	0	0
"LOC107985567"	23	22	32	32	25	23	32	24	40	36
"SNU13"	2357	2169	2329	2365	1761	1939	2204	2121	2519	2647
"XRCC6"	9520	8213	9405	8791	7845	8344	7500	7050	8405	8796
"DESI1"	1200	1057	1139	1127	906	1244	1329	1316	1599	1513
"PMM1"	673	521	674	705	448	527	489	527	594	645
"CSDC2"	680	542	678	565	355	354	342	350	393	502
"LOC105373044"	8	9	5	4	1	5	3	3	3	5
"POLR3H"	1759	1678	1826	1803	1215	1221	1241	1091	1250	1486
"ACO2"	3653	3124	3348	3552	2598	3027	3051	3035	3300	3882
"PHF5A"	732	609	742	634	520	612	612	551	682	761
"LOC105373043"	5	4	6	5	1	1	2	3	2	6
"TOB2"	1705	1650	1764	1704	1223	830	844	702	803	947
"RNU6.495P"	0	2	0	0	0	0	2	0	0	1
"LOC105373042"	6	2	1	12	4	3	3	8	14	5
"LOC100996598"	0	0	0	0	0	0	0	0	0	0
"TEF"	375	393	318	427	272	166	202	188	211	237
"ZC3H7B"	5232	4534	4728	4700	3572	3362	3819	3616	4056	4652
"MIR6889"	0	0	0	1	0	0	0	0	0	0
"RANGAP1"	2199	1919	2108	2021	1326	1641	1723	1691	1706	2115
"CHADL"	4	2	2	3	2	8	4	7	3	4
"L3MBTL2.AS1"	79	38	60	35	62	57	36	31	35	33
"L3MBTL2"	1234	1052	1105	1147	821	862	925	883	1115	1125
"LOC646927"	0	1	0	0	0	0	0	0	0	0
"LRRC37A14P"	0	1	0	0	0	1	0	0	0	0
"EP300.AS1"	11	9	23	7	5	8	6	7	6	6
"RNU6.375P"	0	0	0	0	0	0	0	0	1	0
"EP300"	4293	3933	3934	3583	3317	3570	3872	3534	4265	4535
"MIR1281"	0	0	2	0	1	0	1	0	1	0
"ACTBP15"	2	1	1	0	2	0	0	2	0	0
"SNORD140"	1	0	3	2	2	2	2	2	1	1
"RPS9P2"	7	10	9	12	3	2	3	3	2	5
"RBX1"	1185	1014	1194	1107	814	1044	963	929	1139	1220
"RNU6.379P"	0	0	0	0	0	0	0	0	0	0
"LOC124905157"	0	0	0	0	0	0	1	0	0	0
"LOC124905124"	0	0	0	0	0	0	0	0	0	1
"DNAJB7"	0	0	0	0	0	0	0	0	0	0
"XPNPEP3"	613	546	617	528	424	508	463	451	512	563
"ST13"	10643	9962	11291	10161	8340	9107	7599	7279	8483	9400
"MIR4766"	1	0	0	1	0	0	1	1	1	0
"JTBP1"	0	0	0	0	0	0	0	0	0	0
"LOC100313968"	1	1	1	1	0	2	2	3	3	5
"SLC25A17"	1040	896	1003	860	709	1067	996	976	1204	1160
"MCHR1"	67	57	54	63	43	96	109	124	124	134
"GAPDHP37"	0	0	0	0	0	0	0	0	0	0
"LOC124905123"	1	0	0	0	0	0	0	0	0	0
"LOC124905122"	0	1	1	0	0	0	1	0	2	1
"RPL4P6"	9	10	9	8	10	6	11	9	7	6
"COX6B1P3"	0	0	0	0	0	0	0	0	0	0
"LOC105373037"	0	0	0	0	0	0	0	0	0	0
"MRTFA.AS1"	0	0	0	0	0	0	0	0	0	0
"MRTFA"	1440	1144	1259	1193	943	931	1053	995	1119	1291
"SGSM3"	1900	1781	1675	1814	1230	1220	1315	1268	1369	1649
"ADSL"	1772	1470	1764	1500	1199	1567	1289	1272	1500	1704
"LOC124905121"	1	0	1	0	0	0	0	0	0	0
"RPL7P52"	0	0	0	0	2	0	0	0	0	0
"TNRC6B"	1735	1723	1636	1621	1334	2076	2416	2101	2727	2884
"TNRC6B.DT"	1	1	3	6	4	5	6	2	4	11
"FAM83F"	0	0	0	0	0	0	1	1	0	0
"LOC124905155"	0	0	0	0	0	0	0	0	0	0
"LOC112268293"	1	0	1	1	2	2	3	0	1	1
"GRAP2"	1	2	2	4	2	1	1	3	1	3
"UQCRFS1P1"	10	4	10	2	4	3	4	5	8	2
"RN7SKP210"	0	0	0	0	0	0	0	0	0	0
"MTFR2P2"	0	0	0	0	0	0	0	0	1	0
"ENTHD1"	0	0	1	1	1	0	0	1	0	1
"CACNA1I"	212	254	166	261	161	284	473	454	557	492
"LOC124905120"	0	0	0	0	0	0	0	0	0	0
"RPS19BP1"	618	481	664	506	327	420	414	376	439	539
"ATF4"	11183	8834	10313	10304	8900	7036	8028	7836	9614	9319
"LOC105373035"	2	0	1	1	0	0	0	0	1	0
"MIEF1"	2337	2074	2287	2324	1680	2006	2077	1925	2345	2451
"MGAT3.AS1"	0	0	0	1	0	0	0	0	0	0
"MGAT3"	1468	1392	1341	1401	994	1137	1460	1499	1697	1780
"LOC100506472"	56	60	30	60	52	50	80	76	100	81
"TAB1"	887	895	821	967	702	612	904	777	948	916
"SYNGR1"	1691	1814	1533	1898	1203	1427	2225	1940	2351	2475
"SNORD43"	7	10	4	7	1	9	2	6	5	8
"SNORD139"	12	7	4	12	8	7	4	8	12	3
"SNORD83A"	9	15	12	3	9	10	8	8	6	9
"SNORD83B"	25	15	8	12	11	10	7	14	13	11
"RPL3"	31371	23924	29313	28144	20296	15775	11921	12667	14281	17049
"LOC124905119"	0	0	1	0	0	0	0	0	0	0
"PDGFB"	718	216	929	184	324	677	263	183	248	366
"FUNDC2P4"	0	0	0	0	0	0	0	0	0	0
"CBX7"	228	230	177	239	161	119	166	157	199	158
"COX5BP7"	0	0	1	3	0	0	1	0	2	1
"APOBEC3H"	1	0	1	1	0	0	0	0	0	0
"LOC101927202"	0	0	0	0	0	0	0	0	0	0
"APOBEC3G"	39	36	34	56	31	3	1	1	5	3
"LOC107985563"	0	0	0	0	0	0	0	0	0	0
"APOBEC3F"	88	119	86	106	89	14	15	5	8	20
"APOBEC3D"	4	2	2	4	5	0	2	0	1	0
"APOBEC3C"	186	179	198	174	129	86	46	38	43	73
"APOBEC3B.AS1"	0	0	0	0	0	0	0	0	0	0
"APOBEC3B"	44	52	30	59	38	10	19	12	13	16
"LOC124905118"	0	0	0	2	0	2	0	0	0	1
"LOC105373033"	0	0	0	0	0	0	0	0	0	0
"APOBEC3A"	0	0	0	0	0	0	0	0	0	0
"CBX6"	3102	2825	2951	2790	1752	1525	1618	1481	1711	1860
"NPTXR"	1485	1661	1068	1871	1233	1528	2469	2180	2852	2744
"DNAL4"	604	407	602	462	366	339	335	345	422	474
"SUN2"	2022	1566	1694	1727	1123	1400	1862	1646	1915	2253
"PRDX3P1"	1	0	2	0	1	0	2	0	0	0
"GTPBP1"	3013	2362	2569	2539	1962	1998	2088	2158	2545	2681
"JOSD1"	2573	2339	2512	2434	2005	1568	1553	1490	1659	1853
"TOMM22"	1458	1203	1487	1306	1041	1289	1209	1072	1400	1508
"LOC124905117"	60	52	42	65	54	53	77	50	58	71
"CBY1"	865	710	856	765	670	600	535	544	562	685
"FAM227A"	877	738	714	656	694	674	634	640	667	743
"RPS29P31"	0	0	0	0	0	0	0	0	0	0
"LOC105373031"	0	0	0	0	0	0	0	0	1	0
"DMC1"	9	17	14	22	16	19	30	23	40	26
"DDX17"	28060	25991	21044	24609	20859	20052	20456	18459	22748	22610
"KDELR3"	1291	1696	1440	1660	1141	337	192	109	150	198
"LOC124905116"	0	0	1	0	0	0	0	0	2	0
"LOC105373029"	0	0	0	0	0	0	0	0	0	0
"KCNJ4"	195	104	241	118	121	131	98	99	103	105
"LOC101927183"	0	0	0	0	0	0	0	0	0	0
"LOC105373030"	0	1	1	0	0	0	0	0	0	0
"TPTEP2"	9	14	9	9	8	1	5	8	8	2
"CSNK1E"	8	8	6	7	1	6	5	16	11	7
"TPTEP2.CSNK1E"	64	34	44	51	32	21	34	26	26	24
"RN7SL704P"	0	0	0	0	0	0	0	0	0	0
"SNORA92"	19	21	17	23	13	10	20	25	21	22
"TMEM184B"	2245	1851	2252	1808	1358	1557	1415	1296	1468	1771
"MAFF"	313	198	332	223	183	270	195	223	199	288
"PLA2G6"	514	381	380	441	345	236	255	243	283	326
"BAIAP2L2"	20	16	9	16	17	7	12	14	23	17
"LOC105373027"	11	21	3	13	9	6	13	12	19	8
"SLC16A8"	1	1	0	1	1	2	0	0	0	0
"PICK1"	691	746	545	802	478	543	799	656	855	848
"MIR4534"	0	0	0	1	0	1	0	0	1	0
"SOX10"	29	53	11	51	26	0	2	0	0	0
"MIR6820"	1	2	2	0	0	0	2	1	1	1
"POLR2F"	581	413	615	487	370	459	427	376	446	544
"C22orf23"	58	30	68	30	29	45	35	46	39	45
"MICALL1"	2197	1455	2628	1344	1301	1296	1092	922	1037	1389
"RNU6.900P"	0	0	1	1	2	0	0	0	2	1
"EIF3L"	13119	11596	12427	11986	11767	8967	8291	8406	10070	9838
"MIR659"	1	2	1	1	1	3	3	2	1	3
"MIR658"	0	0	0	0	0	0	0	0	0	0
"ANKRD54"	919	750	828	782	625	702	815	767	898	916
"GALR3"	0	0	1	0	0	0	0	0	0	0
"GCAT"	223	187	276	208	137	161	137	139	116	166
"H1.0"	2167	2590	2454	2544	1562	613	529	429	520	672
"LOC124905159"	1	0	2	0	0	1	0	0	0	0
"LOC102724378"	8	7	0	8	9	6	1	7	4	4
"LOC124905115"	4	6	2	6	6	0	3	0	2	0
"TRIOBP"	2005	1684	1751	1674	1264	1118	1095	1069	1117	1370
"NOL12"	396	371	299	366	317	310	374	339	408	441
"LGALS1"	3520	3352	3359	3875	2488	910	471	299	397	630
"RN7SL385P"	0	1	0	0	0	0	0	0	0	0
"PDXP"	992	865	902	966	634	844	1154	1039	1393	1330
